customer_id,segment,sku,sku_name,date,month,qty,channel,price,region,revenue
C1017,ATHLETE,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-01,1,3,pharmacy,7.99,NRW,23.97
C1020,ATHLETE,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-01,1,1,pharmacy,7.99,NRW,7.99
C1106,SELFCARE,BEI001,5in1 Beinlotion,2025-01-01,1,2,pharmacy,9.99,Saarland,19.98
C1173,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-01,1,1,supermarket,7.99,Hessen,7.99
C1203,BUDGET,BEI001,5in1 Beinlotion,2025-01-01,1,3,supermarket,9.99,NRW,29.97
C1213,BUDGET,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-01,1,1,drugstore,4.99,Baden-Württemberg,4.99
C1264,BUDGET,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-01,1,2,drugstore,4.99,Baden-Württemberg,9.98
C1050,ATHLETE,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-02,1,1,pharmacy,7.99,NRW,7.99
C1136,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-02,1,3,supermarket,7.99,Bayern,23.97
C1147,WINTER,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-02,1,1,supermarket,4.99,Saarland,4.99
C1183,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-02,1,2,supermarket,7.99,Hessen,15.98
C1047,ATHLETE,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-03,1,1,pharmacy,7.99,NRW,7.99
C1162,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-04,1,2,pharmacy,7.99,Saarland,15.98
C1189,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-04,1,1,supermarket,7.99,Saarland,7.99
C1211,BUDGET,EIS001,Eisspray akut,2025-01-04,1,1,drugstore,8.49,Baden-Württemberg,8.49
C1212,BUDGET,BEI001,5in1 Beinlotion,2025-01-04,1,2,supermarket,9.99,NRW,19.98
C1113,SELFCARE,BEI001,5in1 Beinlotion,2025-01-05,1,1,pharmacy,9.99,Saarland,9.99
C1140,WINTER,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-05,1,1,pharmacy,4.99,Hessen,4.99
C1141,WINTER,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-05,1,1,supermarket,4.99,Bayern,4.99
C1155,WINTER,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-05,1,1,pharmacy,4.99,Bayern,4.99
C1174,WINTER,FUS001,Allgäuer Latschenkiefer Fußbad,2025-01-05,1,2,pharmacy,4.99,Saarland,9.98
C1190,WINTER,MOB001,Allgäuer Latschenkiefer Mobil Gel,2025-01-05,1,2,pharmacy,7.99,Hessen,15.98
